Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
meszaros-3-mix.mps,0,61,160,52,142,541,3.809170e-01,1.219000e-13,1.180000e-06,4.440470e+04,4.440464e+04,5,12,0.000000e+00
meszaros-aa01.mps,3,823,8904,782,8904,206536,6.742010e-01,5.110000e-08,4.850000e-08,5.553544e+04,5.553544e+04,5,60,2.560000e+00
meszaros-aa03.mps,3,825,8627,763,8572,185860,6.371980e-01,5.572000e-07,1.950000e-06,4.961641e+04,4.961636e+04,5,59,2.210000e+00
meszaros-air02.mps,0,50,6774,50,6774,1180,9.240000e-01,7.623000e-13,9.090000e-10,7.640000e+03,7.640000e+03,5,15,1.200000e-01
meszaros-air03.mps,0,124,10757,122,10755,5303,7.043810e-01,4.806000e-12,5.440000e-05,3.388818e+05,3.388352e+05,5,24,3.100000e-01
meszaros-air04.mps,3,823,8904,782,8904,206536,6.742010e-01,5.110000e-08,4.850000e-08,5.553544e+04,5.553544e+04,5,60,2.560000e+00
meszaros-air05.mps,3,426,7195,408,7195,62864,7.528350e-01,2.641000e-11,1.630000e-09,2.587761e+04,2.587761e+04,5,37,5.200000e-01
meszaros-air06.mps,3,825,8627,763,8572,185860,6.371980e-01,5.572000e-07,1.950000e-06,4.961641e+04,4.961636e+04,5,59,2.140000e+00
meszaros-aircraft.mps,3,3754,7517,3754,7517,3754,2.660000e-04,3.119000e-03,3.950000e-06,1.006985e+03,1.006991e+03,5,10,6.000000e-02
meszaros-aramco.mps,0,29,62,22,54,95,3.471070e-01,6.963000e-16,1.690000e-13,-3.926918e+05,-3.926918e+05,5,8,0.000000e+00
meszaros-bas1lp.mps,0,5411,9825,5410,9824,2216754,1.512940e-01,6.981000e-14,1.210000e-11,3.630000e+02,3.630000e+02,5,9,8.680000e+00
meszaros-baxter_mat.mps,0,27441,30733,23871,30122,5893406,2.064300e-02,4.199000e-10,2.500000e-05,5.600826e+07,5.600682e+07,5,26,3.694000e+01
meszaros-bpmpd.mps,6,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-complex1.mps,3,1023,1408,1013,1388,471404,9.177780e-01,2.464000e-05,2.850000e-05,-9.966552e+01,-9.968181e+01,5,37,5.650000e+00
meszaros-cr42.mps,3,905,1513,904,1512,1804,3.309000e-03,1.147000e-01,6.000000e-07,-2.215403e+01,-2.215404e+01,5,14,2.000000e-02
meszaros-crew.mps,0,135,6469,135,6469,8588,9.350340e-01,2.375000e-12,8.690000e-10,2.055556e+01,2.055556e+01,5,11,1.000000e-01
meszaros-dano3mip.mps,0,3202,15851,3202,15851,1090198,2.123510e-01,3.436000e-10,9.010000e-08,5.762317e+02,5.762316e+02,5,33,1.445000e+01
meszaros-dbah00.mps,0,10099,16369,9150,14990,280991,6.603000e-03,1.868000e-11,7.440000e-05,5.581516e+06,5.581112e+06,5,31,9.700000e-01
meszaros-dbic1.mps,0,43200,226317,34205,174457,1863063,3.156000e-03,1.252000e-06,1.790000e-04,-9.768927e+06,-9.770700e+06,5,36,1.945000e+01
meszaros-dbir1.mps,0,18804,45775,14032,38763,2523535,2.556200e-02,7.396000e-05,6.610000e-05,-8.106550e+06,-8.107073e+06,5,22,4.539000e+01
meszaros-dbir2.mps,0,18906,45877,14107,38838,2818493,2.825500e-02,5.737000e-08,7.670000e-06,-6.116877e+06,-6.116923e+06,5,28,6.199000e+01
meszaros-delfland.mps,0,677,1400,525,912,3461,2.320900e-02,2.329000e-13,2.180000e-06,2.203090e+00,2.203080e+00,5,32,5.000000e-02
meszaros-disp3.mps,0,2182,3990,1916,3536,14012,7.112000e-03,2.316000e-10,1.900000e-05,2.020815e+05,2.020789e+05,5,13,6.000000e-02
meszaros-ds90.mps,0,3700,8291,3500,7876,99700,1.599200e-02,3.351000e-13,1.850000e-05,9.257641e+05,9.257482e+05,5,21,4.200000e-01
meszaros-dsbmip.mps,0,1182,2676,1182,2589,16789,2.318800e-02,1.467000e-10,5.400000e-06,-3.051977e+02,-3.052004e+02,5,29,1.200000e-01
meszaros-emsdz.mps,0,7039,15325,6665,14680,274969,1.223000e-02,3.602000e-11,9.150000e-05,1.229326e+06,1.229204e+06,5,25,1.200000e+00
meszaros-f2177.mps,0,9728,10178,9728,9908,12932313,2.732090e-01,2.877000e-14,2.640000e-12,9.000000e+01,9.000000e+01,5,2,3.032000e+01
